system:index,Aerosol Index,date,.geo
20220407T083021_20220407T091009,0.6183941111160424,2022-04-07T08:30:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220407T083521_20220407T091232,,2022-04-07T08:35:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220408T081021_20220408T084749,0.2972292920109172,2022-04-08T08:10:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220408T081521_20220408T084818,0.32620339956595096,2022-04-08T08:15:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220409T075521_20220409T082821,-1.2054199589072994,2022-04-09T07:55:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220410T073521_20220410T081017,0.06365823108106991,2022-04-10T07:35:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220411T071521_20220411T075221,-0.5642394611226896,2022-04-11T07:15:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220411T085521_20220411T093435,,2022-04-11T08:55:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220412T070021_20220412T073109,,2022-04-12T07:00:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220412T083521_20220412T091226,0.9092279882546046,2022-04-12T08:35:16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220412T084021_20220412T091312,0.9086451684265978,2022-04-12T08:40:16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220413T082021_20220413T085043,0.2949016176436122,2022-04-13T08:20:16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220414T080021_20220414T083446,-0.027268148662521394,2022-04-14T08:00:15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220415T073844_20220415T081643,,2022-04-15T07:38:38,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220415T074344_20220415T081723,-1.3835108560561036,2022-04-15T07:43:38,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220416T072344_20220416T075640,-0.17561619461341407,2022-04-16T07:23:39,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220417T070344_20220417T073639,,2022-04-17T07:03:38,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220417T084344_20220417T092322,1.0311397878416728,2022-04-17T08:43:38,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220418T082344_20220418T090102,0.6579150044973852,2022-04-18T08:23:38,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220418T082844_20220418T085746,,2022-04-18T08:28:38,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220419T080344_20220419T083943,0.1567897159271727,2022-04-19T08:03:38,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220419T080844_20220419T084111,0.24611586606929411,2022-04-19T08:08:38,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220420T074844_20220420T082146,0.48777737345912436,2022-04-20T07:48:38,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220421T072756_20220421T080737,0.006182451416868775,2022-04-21T07:27:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220422T070756_20220422T074443,0.43623532962824224,2022-04-22T07:07:50,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220422T071256_20220422T074539,0.48490373308927476,2022-04-22T07:12:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220422T084756_20220422T092414,0.1893402824359921,2022-04-22T08:47:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220422T085256_20220422T092506,0.18934947539630895,2022-04-22T08:52:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220423T065256_20220423T072646,,2022-04-23T06:52:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220423T083256_20220423T090513,0.32364686139681836,2022-04-23T08:32:50,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220424T081256_20220424T084813,0.16445080361742823,2022-04-24T08:12:51,"{""type"":""MultiPoint"",""coordinates"":[]}"
