system:index,NO2_Density,date,.geo
20200522T073818_20200522T081515,,2020-05-22T07:38:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200523T071318_20200523T075621,,2020-05-23T07:13:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200523T071818_20200523T075726,9.935957036914924E-5,2020-05-23T07:18:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200524T065818_20200524T074013,,2020-05-24T06:58:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200524T083818_20200524T092000,9.123056297260792E-5,2020-05-24T08:38:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200525T081818_20200525T090134,9.08947475586565E-5,2020-05-25T08:18:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200526T075818_20200526T084056,1.00001357008066E-4,2020-05-26T07:58:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200526T080318_20200526T084143,,2020-05-26T08:03:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200527T073818_20200527T082231,,2020-05-27T07:38:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200527T074318_20200527T082400,1.0565174904639519E-4,2020-05-27T07:43:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200528T072318_20200528T080813,9.449703322188504E-5,2020-05-28T07:23:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200529T070318_20200529T074356,,2020-05-29T07:03:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200529T084318_20200529T092646,9.572966197333435E-5,2020-05-29T08:43:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200530T082318_20200530T090217,1.0308791900603311E-4,2020-05-30T08:23:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200530T082818_20200530T090647,,2020-05-30T08:28:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200531T080318_20200531T084631,,2020-05-31T08:03:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200531T080818_20200531T085142,4.48821122614308E-5,2020-05-31T08:08:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200601T074818_20200601T083018,9.172435819253353E-5,2020-06-01T07:48:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200602T072818_20200602T081120,7.646106868601064E-5,2020-06-02T07:28:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200603T070818_20200603T075055,6.973313626565955E-5,2020-06-03T07:08:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200603T084818_20200603T093109,6.609271266050043E-5,2020-06-03T08:48:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200603T085318_20200603T093326,,2020-06-03T08:53:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200604T065318_20200604T073327,,2020-06-04T06:53:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200604T083318_20200604T091251,6.71396732982169E-5,2020-06-04T08:33:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200605T081318_20200605T085545,7.690063069421933E-5,2020-06-05T08:13:13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200606T075318_20200606T083727,7.390781046607614E-5,2020-06-06T07:53:12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200607T073352_20200607T081558,7.699126628505883E-5,2020-06-07T07:33:47,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200608T071352_20200608T075522,8.506151875204019E-5,2020-06-08T07:13:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200608T071852_20200608T075818,8.506126175810033E-5,2020-06-08T07:18:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200608T085352_20200608T093643,,2020-06-08T08:53:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200609T065852_20200609T073943,,2020-06-09T06:58:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200609T083852_20200609T091959,8.412847305867583E-5,2020-06-09T08:38:46,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200610T081729_20200610T090132,7.639748900315613E-5,2020-06-10T08:17:23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200610T082229_20200610T090511,,2020-06-10T08:22:23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200611T075729_20200611T084046,1.0617001236542355E-4,2020-06-11T07:57:24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200611T080229_20200611T084149,,2020-06-11T08:02:23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200612T073900_20200612T082157,1.1523477283440262E-4,2020-06-12T07:38:55,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200612T074400_20200612T082236,,2020-06-12T07:43:55,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200613T072008_20200613T080157,6.886509789463025E-5,2020-06-13T07:20:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200613T072508_20200613T080514,6.802980517459756E-5,2020-06-13T07:25:02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200613T090008_20200613T094256,,2020-06-13T09:00:03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200614T070232_20200614T074541,,2020-06-14T07:02:26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200614T084232_20200614T092642,6.183514249357596E-5,2020-06-14T08:42:26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200614T084732_20200614T092749,,2020-06-14T08:47:26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200615T082232_20200615T090516,5.972435520237632E-5,2020-06-15T08:22:26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200615T082732_20200615T090609,,2020-06-15T08:27:26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200616T080732_20200616T085003,6.331760642542836E-5,2020-06-16T08:07:27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200617T074732_20200617T082947,7.950106251856015E-5,2020-06-17T07:47:26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200618T072831_20200618T081115,9.460482472520229E-5,2020-06-18T07:28:25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200619T070831_20200619T075246,5.623711606608891E-5,2020-06-19T07:08:25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200619T084831_20200619T093344,6.993640901146084E-5,2020-06-19T08:48:25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200619T085331_20200619T093439,,2020-06-19T08:53:25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200620T065331_20200620T073052,,2020-06-20T06:53:26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200620T082831_20200620T091132,6.583503006616764E-5,2020-06-20T08:28:25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200620T083331_20200620T091359,6.584028377698919E-5,2020-06-20T08:33:25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200621T081331_20200621T085419,8.507547848464506E-5,2020-06-21T08:13:25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200622T075331_20200622T083755,2.791838807829454E-5,2020-06-22T07:53:25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200623T073331_20200623T081631,6.291953739649373E-5,2020-06-23T07:33:25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200624T071331_20200624T075524,,2020-06-24T07:13:25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200624T071831_20200624T075750,6.78581163708517E-5,2020-06-24T07:18:25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200625T065925_20200625T073943,,2020-06-25T06:59:20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200625T083925_20200625T092107,7.371390915045672E-5,2020-06-25T08:39:20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200626T081925_20200626T090236,7.231852498948566E-5,2020-06-26T08:19:19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200627T075925_20200627T084118,7.466971361875267E-5,2020-06-27T07:59:19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200628T073925_20200628T082102,8.107047649290558E-5,2020-06-28T07:39:20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200628T074425_20200628T082210,,2020-06-28T07:44:20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200629T071925_20200629T080240,,2020-06-29T07:19:20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200629T072425_20200629T080415,7.282419237750895E-5,2020-06-29T07:24:19,"{""type"":""MultiPoint"",""coordinates"":[]}"
